id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	11	0	0	46	20	26	46	0	0
2	14	110	110	235	116	9	125	0	0
3	6	433	433	435	2	0	2	0	0
4	8	469	469	603	126	8	134	0	0
5	12	640	640	702	40	22	62	0	0
6	5	880	880	963	83	0	83	0	0
7	20	982	982	1063	71	10	81	0	0
10	8	1145	1145	1150	5	0	5	0	0
8	20	1103	1103	1152	33	0	49	16	0
9	33	1131	1131	1247	84	32	116	0	0
11	16	1319	1319	1384	65	0	65	0	0
12	7	1609	1609	1610	1	0	1	0	0
13	69	1906	1906	2258	186	166	352	0	0
14	24	2130	2130	2614	306	122	484	56	0
15	11	2807	2807	2820	13	0	13	0	0
16	5	3026	3026	3087	61	0	61	0	0
18	5	3305	3305	3336	31	0	31	0	0
19	45	3438	3438	3473	35	0	35	0	0
17	112	3194	3194	3549	250	39	355	66	0
20	37	3692	3692	3859	155	12	167	0	0
0	0	0	0	3859	2176	0	3859	1683	0
