id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	36	10	26	36	0	0
2	7	110	110	177	58	9	67	0	0
3	3	433	433	434	1	0	1	0	0
4	4	469	469	540	63	8	71	0	0
5	6	640	640	683	21	22	43	0	0
6	2	880	880	922	42	0	42	0	0
7	10	982	982	1028	36	10	46	0	0
8	4	1103	1103	1120	17	0	17	0	0
10	0	1145	1145	1148	3	0	3	0	0
9	14	1131	1131	1206	43	32	75	0	0
11	6	1319	1319	1352	33	0	33	0	0
12	2	1609	1609	1610	1	0	1	0	0
13	33	1906	1906	2266	94	166	360	100	0
14	9	2130	2130	2410	155	122	280	3	0
15	4	2807	2807	2814	7	0	7	0	0
16	1	3026	3026	3057	31	0	31	0	0
18	2	3305	3305	3321	16	0	16	0	0
17	46	3194	3194	3375	126	39	181	16	0
19	22	3438	3438	3456	18	0	18	0	0
20	10	3692	3692	3782	78	12	90	0	0
0	0	0	0	3782	2929	0	3782	853	0
