id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	13	0	0	50	24	26	50	0	0
2	18	110	110	263	144	9	153	0	0
3	8	433	433	435	2	0	2	0	0
4	10	469	469	633	156	8	164	0	0
5	15	640	640	712	50	22	72	0	0
6	53	880	880	1032	104	0	152	48	0
7	50	982	982	1079	87	10	97	0	0
10	12	1145	1145	1151	6	0	6	0	0
8	31	1103	1103	1229	42	0	126	84	0
9	47	1131	1131	1268	105	32	137	0	0
11	23	1319	1319	1400	81	0	81	0	0
12	11	1609	1609	1610	1	0	1	0	0
13	86	1906	1906	2306	232	166	400	2	0
14	30	2130	2130	2705	383	122	575	70	0
15	14	2807	2807	2823	16	0	16	0	0
16	6	3026	3026	3102	76	0	76	0	0
19	11	3438	3438	3482	44	0	44	0	0
18	23	3305	3305	3507	39	0	202	163	0
17	118	3194	3194	3613	311	39	419	69	0
20	41	3692	3692	3897	193	12	205	0	0
0	0	0	0	3897	1801	0	3897	2096	0
