id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	41	15	26	41	0	0
2	10	110	110	206	87	9	96	0	0
3	4	433	433	435	2	0	2	0	0
4	6	469	469	572	95	8	103	0	0
5	9	640	640	693	31	22	53	0	0
6	4	880	880	942	62	0	62	0	0
7	15	982	982	1045	53	10	63	0	0
8	7	1103	1103	1128	25	0	25	0	0
10	1	1145	1145	1149	4	0	4	0	0
9	21	1131	1131	1226	63	32	95	0	0
11	10	1319	1319	1368	49	0	49	0	0
12	4	1609	1609	1610	1	0	1	0	0
13	52	1906	1906	2212	140	166	306	0	0
14	18	2130	2130	2524	230	122	394	42	0
15	8	2807	2807	2817	10	0	10	0	0
16	3	3026	3026	3072	46	0	46	0	0
18	3	3305	3305	3328	23	0	23	0	0
19	34	3438	3438	3465	27	0	27	0	0
17	84	3194	3194	3471	188	39	277	50	0
20	28	3692	3692	3820	116	12	128	0	0
0	0	0	0	3820	2553	0	3820	1267	0
