id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	19	19	50	31	0	31	0	0
1	41	0	0	113	82	0	113	31	0
3	20	462	462	469	7	0	7	0	0
4	9	1047	1047	1140	93	0	93	0	0
5	31	1368	1368	1457	65	4	89	20	0
6	22	1436	1436	1537	57	44	101	0	0
7	6	1597	1597	1622	3	22	25	0	0
8	2	2011	2011	2023	12	0	12	0	0
9	0	3261	3261	3289	28	0	28	0	0
11	0	3501	3501	3579	78	0	78	0	0
10	35	3484	3484	3619	49	8	135	78	0
13	29	4201	4201	4310	33	0	109	76	0
15	38	4431	4431	4434	3	0	3	0	0
14	66	4214	4214	4470	209	44	256	3	0
12	83	4083	4083	4512	159	25	429	245	0
16	41	4779	4779	4794	15	0	15	0	0
17	33	5075	5075	5211	125	11	136	0	0
18	15	5486	5486	5582	81	15	96	0	0
19	10	5626	5626	5657	20	11	31	0	0
20	8	5813	5813	5848	34	1	35	0	0
0	0	0	0	5848	4664	0	5848	1184	0
