id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	19	19	71	52	0	52	0	0
1	69	0	0	189	137	0	189	52	0
3	34	462	462	473	11	0	11	0	0
4	16	1047	1047	1202	155	0	155	0	0
6	52	1436	1436	1573	93	44	137	0	0
5	77	1368	1368	1574	109	4	206	93	0
7	20	1597	1597	1623	4	22	26	0	0
8	9	2011	2011	2031	20	0	20	0	0
9	4	3261	3261	3308	47	0	47	0	0
11	0	3501	3501	3631	130	0	130	0	0
10	58	3484	3484	3702	80	8	218	130	0
13	71	4201	4201	4382	55	0	181	126	0
15	35	4431	4431	4436	5	0	5	0	0
14	57	4214	4214	4614	347	44	400	9	0
12	138	4083	4083	4777	262	25	694	407	0
16	68	4779	4779	4803	24	0	24	0	0
17	55	5075	5075	5293	207	11	218	0	0
18	61	5486	5486	5658	134	15	172	23	0
19	42	5626	5626	5670	33	11	44	0	0
20	20	5813	5813	5870	56	1	57	0	0
0	0	0	0	5870	3909	0	5870	1961	0
