id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	19	19	40	21	0	21	0	0
1	28	0	0	76	55	0	76	21	0
3	13	462	462	467	5	0	5	0	0
4	6	1047	1047	1109	62	0	62	0	0
5	2	1368	1368	1416	44	4	48	0	0
6	10	1436	1436	1519	39	44	83	0	0
7	3	1597	1597	1622	3	22	25	0	0
8	1	2011	2011	2019	8	0	8	0	0
9	0	3261	3261	3280	19	0	19	0	0
11	0	3501	3501	3553	52	0	52	0	0
10	24	3484	3484	3577	33	8	93	52	0
13	17	4201	4201	4274	22	0	73	51	0
12	35	4083	4083	4284	107	25	201	69	0
14	30	4214	4214	4398	140	44	184	0	0
15	14	4431	4431	4433	2	0	2	0	0
16	6	4779	4779	4789	10	0	10	0	0
17	19	5075	5075	5170	84	11	95	0	0
18	9	5486	5486	5555	54	15	69	0	0
19	6	5626	5626	5650	13	11	24	0	0
20	5	5813	5813	5837	23	1	24	0	0
0	0	0	0	5837	5041	0	5837	796	0
