id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	19	19	30	11	0	11	0	0
1	14	0	0	39	28	0	39	11	0
3	6	462	462	465	3	0	3	0	0
4	2	1047	1047	1078	31	0	31	0	0
5	1	1368	1368	1395	23	4	27	0	0
6	5	1436	1436	1500	20	44	64	0	0
7	1	1597	1597	1621	2	22	24	0	0
8	0	2011	2011	2015	4	0	4	0	0
9	0	3261	3261	3271	10	0	10	0	0
10	8	3484	3484	3509	17	8	25	0	0
11	17	3501	3501	3528	26	0	27	1	0
12	20	4083	4083	4163	55	25	80	0	0
13	9	4201	4201	4212	11	0	11	0	0
14	14	4214	4214	4329	71	44	115	0	0
15	6	4431	4431	4432	1	0	1	0	0
16	2	4779	4779	4784	5	0	5	0	0
17	10	5075	5075	5129	43	11	54	0	0
18	4	5486	5486	5528	27	15	42	0	0
19	3	5626	5626	5644	7	11	18	0	0
20	3	5813	5813	5826	12	1	13	0	0
0	0	0	0	5826	5419	0	5826	407	0
