id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	19	19	60	41	0	41	0	0
1	55	0	0	150	109	0	150	41	0
3	27	462	462	471	9	0	9	0	0
4	13	1047	1047	1171	124	0	124	0	0
5	41	1368	1368	1485	86	4	117	27	0
6	30	1436	1436	1556	76	44	120	0	0
7	8	1597	1597	1623	4	22	26	0	0
8	3	2011	2011	2027	16	0	16	0	0
9	1	3261	3261	3299	38	0	38	0	0
11	0	3501	3501	3605	104	0	104	0	0
10	47	3484	3484	3661	65	8	177	104	0
13	39	4201	4201	4346	44	0	145	101	0
15	51	4431	4431	4435	4	0	4	0	0
14	88	4214	4214	4540	278	44	326	4	0
12	110	4083	4083	4644	210	25	561	326	0
16	54	4779	4779	4798	19	0	19	0	0
17	44	5075	5075	5252	166	11	177	0	0
18	20	5486	5486	5608	107	15	122	0	0
19	13	5626	5626	5663	26	11	37	0	0
20	11	5813	5813	5859	45	1	46	0	0
0	0	0	0	5859	4288	0	5859	1571	0
