id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	48	0	0	249	225	24	249	0	0
2	23	257	257	298	41	0	41	0	0
3	11	700	700	710	10	0	10	0	0
4	8	1024	1024	1133	53	56	109	0	0
6	2	1440	1440	1512	72	0	72	0	0
7	22	1634	1634	1678	41	3	44	0	0
5	30	1376	1376	1700	139	72	324	113	0
8	11	1792	1792	1822	24	6	30	0	0
9	5	1863	1863	1892	29	0	29	0	0
10	14	1986	1986	2015	27	2	29	0	0
11	17	2048	2048	2091	41	2	43	0	0
12	8	2119	2119	2135	16	0	16	0	0
13	6	2383	2383	2434	34	17	51	0	0
14	5	2613	2613	2671	19	39	58	0	0
15	2	2675	2675	2681	6	0	6	0	0
16	0	2731	2731	2757	26	0	26	0	0
17	0	2859	2859	2861	2	0	2	0	0
18	12	3052	3052	3125	46	27	73	0	0
19	5	3435	3435	3544	109	0	109	0	0
20	2	3695	3695	3701	6	0	6	0	0
0	0	0	0	3701	2735	0	3701	966	0
