id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	17	0	0	100	76	24	100	0	0
2	8	257	257	271	14	0	14	0	0
3	3	700	700	704	4	0	4	0	0
4	2	1024	1024	1098	18	56	74	0	0
6	0	1440	1440	1464	24	0	24	0	0
5	23	1376	1376	1519	47	72	143	24	0
7	7	1634	1634	1651	14	3	17	0	0
8	3	1792	1792	1807	9	6	15	0	0
9	1	1863	1863	1873	10	0	10	0	0
10	4	1986	1986	1998	10	2	12	0	0
11	5	2048	2048	2065	15	2	17	0	0
12	2	2119	2119	2125	6	0	6	0	0
13	1	2383	2383	2412	12	17	29	0	0
14	1	2613	2613	2659	7	39	46	0	0
15	0	2675	2675	2677	2	0	2	0	0
16	0	2731	2731	2740	9	0	9	0	0
17	0	2859	2859	2860	1	0	1	0	0
18	4	3052	3052	3095	16	27	43	0	0
19	1	3435	3435	3472	37	0	37	0	0
20	0	3695	3695	3697	2	0	2	0	0
0	0	0	0	3697	3364	0	3697	333	0
