id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	32	0	0	174	150	24	174	0	0
2	15	257	257	285	28	0	28	0	0
3	7	700	700	707	7	0	7	0	0
4	5	1024	1024	1116	36	56	92	0	0
6	1	1440	1440	1488	48	0	48	0	0
5	46	1376	1376	1589	93	72	213	48	0
7	13	1634	1634	1664	27	3	30	0	0
8	6	1792	1792	1815	17	6	23	0	0
9	2	1863	1863	1883	20	0	20	0	0
10	9	1986	1986	2007	19	2	21	0	0
11	11	2048	2048	2078	28	2	30	0	0
12	5	2119	2119	2130	11	0	11	0	0
13	4	2383	2383	2423	23	17	40	0	0
14	3	2613	2613	2665	13	39	52	0	0
15	1	2675	2675	2679	4	0	4	0	0
16	0	2731	2731	2748	17	0	17	0	0
17	0	2859	2859	2861	2	0	2	0	0
18	8	3052	3052	3110	31	27	58	0	0
19	3	3435	3435	3508	73	0	73	0	0
20	1	3695	3695	3699	4	0	4	0	0
0	0	0	0	3699	3048	0	3699	651	0
