id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	42	0	0	397	373	24	397	0	0
2	55	257	279	445	69	0	188	119	22
3	27	700	700	716	16	0	16	0	0
4	16	1024	1024	1169	89	56	145	0	0
6	4	1440	1440	1560	120	0	120	0	0
7	54	1634	1634	1705	68	3	71	0	0
8	35	1792	1792	1837	39	6	45	0	0
9	24	1863	1863	1912	49	0	49	0	0
5	44	1376	1376	1945	230	72	569	267	0
10	32	1986	1986	2033	45	2	47	0	0
11	30	2048	2048	2117	67	2	69	0	0
12	14	2119	2119	2145	26	0	26	0	0
13	10	2383	2383	2456	56	17	73	0	0
15	3	2675	2675	2685	10	0	10	0	0
14	10	2613	2613	2693	31	39	80	10	0
16	4	2731	2731	2773	42	0	42	0	0
17	1	2859	2859	2862	3	0	3	0	0
18	20	3052	3052	3155	76	27	103	0	0
19	9	3435	3435	3617	182	0	182	0	0
20	4	3695	3695	3705	10	0	10	0	0
0	0	0	0	3705	2104	0	3705	1601	0
