id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	92	13	0	13	0	0
1	0	0	0	104	43	61	104	0	0
3	0	109	109	157	20	28	48	0	0
4	0	691	691	786	71	24	95	0	0
5	0	811	811	815	4	0	4	0	0
6	0	860	860	863	3	0	3	0	0
7	0	947	947	988	33	8	41	0	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1652	6	4	10	0	0
9	0	1510	1510	1675	39	126	165	0	0
11	0	1756	1756	1827	67	1	71	3	0
12	0	1811	1811	1832	8	13	21	0	0
13	0	1878	1878	1978	69	31	100	0	0
14	0	2212	2212	2248	24	12	36	0	0
16	0	2416	2416	2480	25	39	64	0	0
15	0	2329	2329	2593	180	76	264	8	0
18	0	2794	2794	2797	3	0	3	0	0
17	0	2786	2786	2864	72	3	78	3	0
19	0	2875	2875	2935	52	8	60	0	0
20	0	2980	2980	2991	11	0	11	0	0
0	0	0	0	2991	2247	0	2991	744	0
