id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	6	53	17	0	47	30	0
1	0	0	0	115	47	11	115	57	0
3	0	30	40	124	50	0	94	44	10
5	0	113	124	157	22	0	44	22	11
4	0	93	103	198	29	0	105	76	10
6	0	135	145	203	27	4	68	37	10
9	0	254	263	288	15	0	34	19	9
7	0	164	174	292	46	0	128	82	10
10	0	297	297	372	41	33	75	1	0
12	0	462	466	473	7	0	11	4	4
11	0	421	421	484	35	7	63	21	0
8	0	199	203	518	138	122	319	59	4
14	0	599	599	603	4	0	4	0	0
13	0	527	527	624	78	15	97	4	0
15	0	658	658	665	7	0	7	0	0
16	0	684	684	766	73	0	82	9	0
18	0	787	787	790	3	0	3	0	0
17	0	740	740	828	67	18	88	3	0
19	0	861	861	897	16	0	36	20	0
20	0	866	866	942	63	2	76	11	0
0	0	0	0	942	157	0	942	785	0
