id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	6	23	17	0	17	0	0
3	0	30	30	110	50	0	80	30	0
5	0	113	135	157	22	0	44	22	22
1	0	0	0	162	47	11	162	104	0
4	0	93	93	167	29	0	74	45	0
7	0	164	167	215	46	0	51	5	3
9	0	254	259	274	15	0	20	5	5
6	0	135	162	292	27	4	157	126	27
10	0	297	297	371	41	33	74	0	0
12	0	462	462	469	7	0	7	0	0
11	0	421	421	470	35	7	49	7	0
8	0	199	215	500	138	122	301	41	16
14	0	599	599	603	4	0	4	0	0
13	0	527	527	624	78	15	97	4	0
15	0	658	658	665	7	0	7	0	0
16	0	684	684	766	73	0	82	9	0
18	0	787	787	790	3	0	3	0	0
17	0	740	740	828	67	18	88	3	0
19	0	861	861	929	16	0	68	52	0
20	0	866	866	940	63	2	74	9	0
0	0	0	0	940	155	0	940	785	0
