id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	6	23	17	0	17	0	0
3	0	30	30	103	50	0	73	23	0
1	0	0	0	143	47	11	143	85	0
5	0	113	116	154	22	0	41	19	3
4	0	93	103	171	29	0	78	49	10
6	0	135	154	192	27	4	57	26	19
9	0	254	254	269	15	0	15	0	0
7	0	164	164	292	46	0	128	82	0
10	0	297	297	384	41	33	87	13	0
12	0	462	470	477	7	0	15	8	8
11	0	421	421	478	35	7	57	15	0
8	0	199	199	522	138	122	323	63	0
14	0	599	599	603	4	0	4	0	0
13	0	527	527	624	78	15	97	4	0
15	0	658	658	665	7	0	7	0	0
16	0	684	684	766	73	0	82	9	0
18	0	787	787	790	3	0	3	0	0
17	0	740	740	828	67	18	88	3	0
19	0	861	861	939	16	0	78	62	0
20	0	866	866	940	63	2	74	9	0
0	0	0	0	940	155	0	940	785	0
