id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	6	23	17	0	17	0	0
3	0	30	30	103	50	0	73	23	0
1	0	0	0	143	47	11	143	85	0
5	0	113	116	154	22	0	41	19	3
4	0	93	103	171	29	0	78	49	10
6	0	135	154	200	27	4	65	34	19
7	0	164	164	272	46	0	108	62	0
9	0	254	272	287	15	0	33	18	18
10	0	297	297	384	41	33	87	13	0
12	0	462	482	489	7	0	27	20	20
11	0	421	421	490	35	7	69	27	0
14	0	599	599	603	4	0	4	0	0
8	0	199	200	606	138	122	407	147	1
13	0	527	527	640	78	15	113	20	0
15	0	658	658	665	7	0	7	0	0
16	0	684	684	766	73	0	82	9	0
18	0	787	787	790	3	0	3	0	0
17	0	740	740	828	67	18	88	3	0
19	0	861	861	897	16	0	36	20	0
20	0	866	866	942	63	2	76	11	0
0	0	0	0	942	157	0	942	785	0
