id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	16	16	50	34	0	34	0	0
3	19	88	88	187	99	0	99	0	0
1	63	0	0	234	94	7	234	133	0
4	31	277	277	334	57	0	57	0	0
5	15	337	337	381	44	0	44	0	0
6	9	401	401	456	52	3	55	0	0
7	4	488	488	579	91	0	91	0	0
9	26	755	755	919	29	0	164	135	0
10	24	882	882	982	80	20	100	0	0
8	41	592	592	1035	274	73	443	96	0
11	30	1253	1253	1327	69	5	74	0	0
12	14	1374	1374	1387	13	0	13	0	0
13	44	1567	1567	1731	155	9	164	0	0
14	21	1781	1781	1789	8	0	8	0	0
15	10	1956	1956	1969	13	0	13	0	0
16	4	2033	2033	2178	145	0	145	0	0
18	2	2340	2340	2346	6	0	6	0	0
17	59	2199	2199	2349	133	11	150	6	0
19	32	2562	2562	2637	32	0	75	43	0
20	33	2576	2576	2718	124	1	142	17	0
0	0	0	0	2718	1166	0	2718	1552	0
