id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	16	16	37	21	0	21	0	0
1	35	0	0	85	57	7	85	21	0
3	17	88	88	147	59	0	59	0	0
4	8	277	277	311	34	0	34	0	0
5	3	337	337	363	26	0	26	0	0
6	4	401	401	436	32	3	35	0	0
7	1	488	488	543	55	0	55	0	0
9	9	755	755	772	17	0	17	0	0
8	52	592	592	846	164	73	254	17	0
10	19	882	882	950	48	20	68	0	0
11	16	1253	1253	1299	41	5	46	0	0
12	7	1374	1374	1382	8	0	8	0	0
13	27	1567	1567	1670	94	9	103	0	0
14	13	1781	1781	1786	5	0	5	0	0
15	6	1956	1956	1964	8	0	8	0	0
16	2	2033	2033	2120	87	0	87	0	0
17	3	2199	2199	2291	81	11	92	0	0
18	1	2340	2340	2344	4	0	4	0	0
20	17	2576	2576	2652	75	1	76	0	0
19	18	2562	2562	2656	19	0	94	75	0
0	0	0	0	2656	1721	0	2656	935	0
