id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	16	16	43	27	0	27	0	0
3	15	88	88	167	79	0	79	0	0
1	51	0	0	189	76	7	189	106	0
4	25	277	277	323	46	0	46	0	0
5	12	337	337	372	35	0	35	0	0
6	7	401	401	446	42	3	45	0	0
7	3	488	488	561	73	0	73	0	0
9	12	755	755	778	23	0	23	0	0
10	29	882	882	967	65	20	85	0	0
8	38	592	592	973	220	73	381	88	0
11	25	1253	1253	1313	55	5	60	0	0
12	12	1374	1374	1385	11	0	11	0	0
13	35	1567	1567	1700	124	9	133	0	0
14	17	1781	1781	1788	7	0	7	0	0
15	8	1956	1956	1967	11	0	11	0	0
16	3	2033	2033	2149	116	0	116	0	0
17	4	2199	2199	2317	107	11	118	0	0
18	1	2340	2340	2345	5	0	5	0	0
20	23	2576	2576	2677	100	1	101	0	0
19	24	2562	2562	2687	25	0	125	100	0
0	0	0	0	2687	1440	0	2687	1247	0
