id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	16	57	21	0	41	20	0
1	0	0	0	85	57	7	85	21	0
3	0	88	88	147	59	0	59	0	0
4	0	277	277	311	34	0	34	0	0
5	0	337	337	363	26	0	26	0	0
6	0	401	401	436	32	3	35	0	0
7	0	488	488	543	55	0	55	0	0
9	0	755	755	772	17	0	17	0	0
8	0	592	592	846	164	73	254	17	0
10	0	882	882	950	48	20	68	0	0
11	0	1253	1253	1299	41	5	46	0	0
12	0	1374	1374	1382	8	0	8	0	0
13	0	1567	1567	1670	94	9	103	0	0
14	0	1781	1781	1786	5	0	5	0	0
15	0	1956	1956	1964	8	0	8	0	0
16	0	2033	2033	2120	87	0	87	0	0
17	0	2199	2199	2291	81	11	92	0	0
18	0	2340	2340	2344	4	0	4	0	0
19	0	2562	2562	2601	19	0	39	20	0
20	0	2576	2576	2657	75	1	81	5	0
0	0	0	0	2657	1722	0	2657	935	0
