id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	16	63	27	0	47	20	0
1	0	0	0	130	76	7	130	47	0
3	0	88	88	182	79	0	94	15	0
4	0	277	277	323	46	0	46	0	0
5	0	337	337	372	35	0	35	0	0
6	0	401	401	446	42	3	45	0	0
7	0	488	488	561	73	0	73	0	0
9	0	755	755	798	23	0	43	20	0
8	0	592	592	947	220	73	355	62	0
10	0	882	882	973	65	20	91	6	0
11	0	1253	1253	1313	55	5	60	0	0
12	0	1374	1374	1385	11	0	11	0	0
13	0	1567	1567	1700	124	9	133	0	0
14	0	1781	1781	1788	7	0	7	0	0
15	0	1956	1956	1967	11	0	11	0	0
16	0	2033	2033	2149	116	0	116	0	0
17	0	2199	2199	2317	107	11	118	0	0
18	0	2340	2340	2345	5	0	5	0	0
19	0	2562	2562	2607	25	0	45	20	0
20	0	2576	2576	2688	100	1	112	11	0
0	0	0	0	2688	1441	0	2688	1247	0
