id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	16	70	34	0	54	20	0
1	0	0	0	175	94	7	175	74	0
3	0	88	88	227	99	0	139	40	0
4	0	277	277	334	57	0	57	0	0
5	0	337	337	381	44	0	44	0	0
6	0	401	401	456	52	3	55	0	0
7	0	488	488	579	91	0	91	0	0
9	0	755	755	824	29	0	69	40	0
10	0	882	882	1036	80	20	154	54	0
8	0	592	592	1045	274	73	453	106	0
11	0	1253	1253	1327	69	5	74	0	0
12	0	1374	1374	1387	13	0	13	0	0
13	0	1567	1567	1731	155	9	164	0	0
14	0	1781	1781	1789	8	0	8	0	0
15	0	1956	1956	1969	13	0	13	0	0
16	0	2033	2033	2178	145	0	145	0	0
18	0	2340	2340	2346	6	0	6	0	0
17	0	2199	2199	2349	133	11	150	6	0
19	0	2562	2562	2614	32	0	52	20	0
20	0	2576	2576	2719	124	1	143	18	0
0	0	0	0	2719	1167	0	2719	1552	0
