id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	130	42	0	51	9	0
3	0	109	109	237	65	28	128	35	0
1	0	0	0	254	140	61	254	53	0
5	0	811	811	822	11	0	11	0	0
6	0	860	860	868	8	0	8	0	0
4	0	691	691	993	234	24	302	44	0
8	0	1052	1052	1053	1	0	1	0	0
7	0	947	947	1080	107	8	133	18	0
10	0	1642	1642	1663	17	4	21	0	0
9	0	1510	1510	1779	123	126	269	20	0
12	0	1811	1811	1849	25	13	38	0	0
11	0	1756	1756	2129	222	1	373	150	0
13	0	1878	1878	2262	229	31	384	124	0
14	0	2212	2212	2324	80	12	112	20	0
16	0	2416	2416	2596	81	39	180	60	0
18	0	2794	2814	2824	10	0	30	20	20
20	0	2980	3020	3114	34	0	134	100	40
19	0	2875	2875	3431	173	8	556	375	0
17	0	2786	2786	3448	241	3	662	418	0
15	0	2329	2329	3498	596	76	1169	497	0
0	0	0	0	3498	1059	0	3498	2439	0
