id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	122	26	0	43	17	0
1	0	0	0	165	84	61	165	20	0
3	0	109	109	180	39	28	71	4	0
5	0	811	811	818	7	0	7	0	0
6	0	860	860	865	5	0	5	0	0
4	0	691	691	868	141	24	177	12	0
7	0	947	947	1020	65	8	73	0	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1656	10	4	14	0	0
9	0	1510	1510	1711	75	126	201	0	0
12	0	1811	1811	1840	16	13	29	0	0
11	0	1756	1756	1941	134	1	185	50	0
13	0	1878	1878	2067	138	31	189	20	0
14	0	2212	2212	2272	48	12	60	0	0
16	0	2416	2416	2524	49	39	108	20	0
18	0	2794	2814	2820	6	0	26	20	20
15	0	2329	2329	2846	358	76	517	83	0
20	0	2980	2997	3058	21	0	78	57	17
17	0	2786	2786	3080	144	3	294	147	0
19	0	2875	2875	3087	104	8	212	100	0
0	0	0	0	3087	1616	0	3087	1471	0
