id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	122	34	0	43	9	0
1	0	0	0	210	111	61	210	38	0
3	0	109	122	231	52	28	122	42	13
5	0	811	811	820	9	0	9	0	0
6	0	860	860	866	6	0	6	0	0
4	0	691	691	918	188	24	227	15	0
7	0	947	947	1041	86	8	94	0	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1660	14	4	18	0	0
9	0	1510	1510	1735	99	126	225	0	0
12	0	1811	1811	1844	20	13	33	0	0
11	0	1756	1756	2019	178	1	263	84	0
13	0	1878	1878	2140	184	31	262	47	0
14	0	2212	2212	2288	64	12	76	0	0
16	0	2416	2416	2579	64	39	163	60	0
18	0	2794	2814	2822	8	0	28	20	20
20	0	2980	3019	3107	28	0	127	99	39
15	0	2329	2329	3202	478	76	873	319	0
19	0	2875	2895	3262	139	8	387	240	20
17	0	2786	2786	3298	193	3	512	316	0
0	0	0	0	3298	1342	0	3298	1956	0
