id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	91	30	61	91	0	0
2	0	79	79	96	9	0	17	8	0
3	0	109	109	151	14	28	42	0	0
4	0	691	691	762	47	24	71	0	0
5	0	811	811	814	3	0	3	0	0
6	0	860	860	862	2	0	2	0	0
7	0	947	947	978	23	8	31	0	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1650	4	4	8	0	0
9	0	1510	1510	1662	26	126	152	0	0
11	0	1756	1756	1802	45	1	46	0	0
12	0	1811	1811	1830	6	13	19	0	0
13	0	1878	1878	1957	48	31	79	0	0
14	0	2212	2212	2241	17	12	29	0	0
16	0	2416	2416	2492	17	39	76	20	0
15	0	2329	2329	2543	121	76	214	17	0
18	0	2794	2794	2796	2	0	2	0	0
17	0	2786	2786	2840	49	3	54	2	0
19	0	2875	2875	2918	35	8	43	0	0
20	0	2980	2980	2987	7	0	7	0	0
0	0	0	0	2987	2481	0	2987	506	0
