id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	33	79	79	135	34	0	56	22	0
1	13	0	0	177	111	61	177	5	0
3	30	109	109	218	52	28	109	29	0
5	15	811	811	820	9	0	9	0	0
6	38	860	860	866	6	0	6	0	0
4	89	691	691	918	188	24	227	15	0
7	38	947	947	1041	86	8	94	0	0
8	18	1052	1052	1053	1	0	1	0	0
10	8	1642	1642	1660	14	4	18	0	0
9	6	1510	1510	1735	99	126	225	0	0
12	35	1811	1811	1844	20	13	33	0	0
11	63	1756	1756	2000	178	1	244	65	0
13	50	1878	1878	2141	184	31	263	48	0
14	22	2212	2212	2288	64	12	76	0	0
16	75	2416	2416	2519	64	39	103	0	0
18	41	2794	2794	2802	8	0	8	0	0
20	35	2980	2980	3008	28	0	28	0	0
19	57	2875	2875	3050	139	8	175	28	0
15	72	2329	2329	3117	478	76	788	234	0
17	110	2786	2786	3298	193	3	512	316	0
0	0	0	0	3298	1342	0	3298	1956	0
