id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	4	0	0	91	30	61	91	0	0
2	6	79	79	96	9	0	17	8	0
3	2	109	109	151	14	28	42	0	0
4	6	691	691	762	47	24	71	0	0
5	2	811	811	814	3	0	3	0	0
6	0	860	860	862	2	0	2	0	0
7	7	947	947	978	23	8	31	0	0
8	3	1052	1052	1053	1	0	1	0	0
10	2	1642	1642	1650	4	4	8	0	0
9	1	1510	1510	1662	26	126	152	0	0
11	16	1756	1756	1802	45	1	46	0	0
12	4	1811	1811	1830	6	13	19	0	0
13	8	1878	1878	1957	48	31	79	0	0
14	4	2212	2212	2241	17	12	29	0	0
16	14	2416	2416	2472	17	39	56	0	0
15	22	2329	2329	2537	121	76	208	11	0
18	4	2794	2794	2796	2	0	2	0	0
17	31	2786	2786	2840	49	3	54	2	0
19	15	2875	2875	2918	35	8	43	0	0
20	7	2980	2980	2987	7	0	7	0	0
0	0	0	0	2987	2481	0	2987	506	0
