id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	31	79	79	127	42	0	48	6	0
1	37	0	0	249	140	61	249	48	0
3	48	109	109	260	65	28	151	58	0
5	20	811	811	822	11	0	11	0	0
6	48	860	860	868	8	0	8	0	0
7	51	947	947	1062	107	8	115	0	0
8	66	1052	1062	1063	1	0	11	10	10
4	133	691	691	1076	234	24	385	127	0
10	11	1642	1642	1663	17	4	21	0	0
9	31	1510	1510	1823	123	126	313	64	0
12	48	1811	1811	1849	25	13	38	0	0
13	82	1878	1878	2138	229	31	260	0	0
11	66	1756	1756	2236	222	1	480	257	0
14	46	2212	2236	2328	80	12	116	24	24
16	95	2416	2416	2536	81	39	120	0	0
18	54	2794	2794	2804	10	0	10	0	0
20	54	2980	2980	3014	34	0	34	0	0
19	76	2875	2875	3090	173	8	215	34	0
15	103	2329	2329	3307	596	76	978	306	0
17	178	2786	2786	3501	241	3	715	471	0
0	0	0	0	3501	1062	0	3501	2439	0
