id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	19	79	79	122	26	0	43	17	0
3	10	109	109	176	39	28	67	0	0
1	16	0	0	180	84	61	180	35	0
5	10	811	811	818	7	0	7	0	0
6	28	860	860	865	5	0	5	0	0
4	66	691	691	868	141	24	177	12	0
7	28	947	947	1020	65	8	73	0	0
8	13	1052	1052	1053	1	0	1	0	0
10	6	1642	1642	1656	10	4	14	0	0
9	4	1510	1510	1711	75	126	201	0	0
12	27	1811	1811	1840	16	13	29	0	0
11	38	1756	1756	1941	134	1	185	50	0
13	32	1878	1878	2047	138	31	169	0	0
14	15	2212	2212	2272	48	12	60	0	0
16	56	2416	2416	2504	49	39	88	0	0
18	24	2794	2794	2800	6	0	6	0	0
15	49	2329	2329	2826	358	76	497	63	0
20	45	2980	2980	3001	21	0	21	0	0
19	52	2875	2875	3008	104	8	133	21	0
17	87	2786	2786	3090	144	3	304	157	0
0	0	0	0	3090	1619	0	3090	1471	0
